protein	acc	hit	species	domain	phylum	category	length	score	align_length	num_prots	prot_ids	protein_locs
ACD70667.1	GCA_000017825.1_ASM1782v1	Treponema pallidum subsp. pallidum SS14	Bacteria	Spirochaetes	COG0085	PRIMARY	1178	1927.2	1065	1	ACD70667.1	599.5
AHB67164.1	GCA_000504565.2_ASM50456v2	Haloarcula hispanica N601	Archaea	Euryarchaeota	COG0085	SECO	521	291.6	438	1	1	1
AHB67163.1	GCA_000504565.2_ASM50456v2	Haloarcula hispanica N601	Archaea	Euryarchaeota	COG0085	MAIN	608	664.2	1042	2	AHB67164.1;AHB67163.1	296.0;817.5
AAC07723.1	GCA_000008625.1_ASM862v1	Aquifex aeolicus VF5	Bacteria	Aquificae	COG0085	PRIMARY	1468	1898.3	1065	1	AAC07723.1	601.5
SKA00314.1	GCA_900167415.1_IMG-taxon_2582581325_annotated_assembly	Fibrobacter intestinalis	Bacteria	FCB group	COG0085	PRIMARY	1458	1852.5	1049	1	SKA00314.1	592.5
ADZ10610.1	GCA_000191585.1_ASM19158v1	Methanobacterium lacus	Archaea	Euryarchaeota	COG0085	MAIN	603	695.4	1057	3	ADZ10611.1;ADZ10610.1;ADZ08994.1	299.0;818.5;85.0
ADZ08994.1	GCA_000191585.1_ASM19158v1	Methanobacterium lacus	Archaea	Euryarchaeota	COG0085	SECO	113	9.8	44	1	1	1
ADZ10611.1	GCA_000191585.1_ASM19158v1	Methanobacterium lacus	Archaea	Euryarchaeota	COG0085	SECO	500	317.5	446	1	1	1
KYP86837.1	GCA_001602545.1_ASM160254v1	bacteria symbiont BFo1 of Frankliniella occidentalis	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1342	2141.6	1055	1	KYP86837.1	590.5
SFB68231.1	GCA_900112205.1_IMG-taxon_2693429869_annotated_assembly	Halobiforma haloterrestris	Archaea	Euryarchaeota	COG0085	SECO	525	303.4	449	1	1	1
SFB68221.1	GCA_900112205.1_IMG-taxon_2693429869_annotated_assembly	Halobiforma haloterrestris	Archaea	Euryarchaeota	COG0085	MAIN	609	670.5	1053	2	SFB68231.1;SFB68221.1	290.5;817.5
AHB72209.1	GCA_000504545.1_ASM50454v1	Cronobacter malonaticus	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2140.4	1055	1	AHB72209.1	590.5
BAQ34485.1	GCA_001010485.1_ASM101048v1	Dehalococcoides sp. UCH007	Bacteria	Terrabacteria group	COG0085	PRIMARY	1272	2001.7	1100	1	BAQ34485.1	615.0
AAF40591.1	GCA_000008805.1_ASM880v1	Neisseria meningitidis MC58	Bacteria	Proteobacteria	COG0085	PRIMARY	1394	2103.0	1054	1	AAF40591.1	589.0
SDM02531.1	GCA_900103715.1_IMG-taxon_2617270902_annotated_assembly	Halogranum gelatinilyticum	Archaea	Euryarchaeota	COG0085	SECO	521	295.5	446	1	1	1
SDM02558.1	GCA_900103715.1_IMG-taxon_2617270902_annotated_assembly	Halogranum gelatinilyticum	Archaea	Euryarchaeota	COG0085	MAIN	608	647.8	1050	2	SDM02531.1;SDM02558.1	292.0;817.5
APJ08724.1	GCA_001900865.1_ASM190086v1	Borreliella afzelii	Bacteria	Spirochaetes	COG0085	PRIMARY	1155	1932.6	1058	1	APJ08724.1	602.0
KHO53417.1	GCA_000806135.1_ASM80613v1	archaeon GW2011_AR11	Archaea	unclassified Archaea	COG0085	SECO	495	234.4	426	1	1	1
KHO53418.1	GCA_000806135.1_ASM80613v1	archaeon GW2011_AR11	Archaea	unclassified Archaea	COG0085	MAIN	600	552.7	1027	2	KHO53417.1;KHO53418.1	303.0;851.0
AKM84131.1	GCA_001029775.1_ASM102977v1	Candidatus Campbellbacteria bacterium GW2011_OD1_34_28	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1055	1687.5	1056	1	AKM84131.1	593.0
KKH49634.1	GCA_000979975.1_gtlEnvA5udCFS	Methanosarcina sp. 1.H.A.2.2	Archaea	Euryarchaeota	COG0085	SECO	531	309.1	429	1	1	1
KKH49635.1	GCA_000979975.1_gtlEnvA5udCFS	Methanosarcina sp. 1.H.A.2.2	Archaea	Euryarchaeota	COG0085	MAIN	604	656.3	1033	2	KKH49634.1;KKH49635.1	300.5;844.5
DACU01000003.1_116	GCA_002494845.1_ASM249484v1	Methanosarcina sp. UBA43	Archaea	Euryarchaeota	COG0085	MAIN	605	664.8	1033	2	DACU01000003.1_115;DACU01000003.1_116	300.5;832.0
DACU01000003.1_115	GCA_002494845.1_ASM249484v1	Methanosarcina sp. UBA43	Archaea	Euryarchaeota	COG0085	SECO	531	308.6	429	1	1	1
AMU86371.1	GCA_001610775.1_ASM161077v1	Dehalococcoides mccartyi	Bacteria	Terrabacteria group	COG0085	PRIMARY	1273	2002.0	1094	1	AMU86371.1	612.0
AKE38313.1	GCA_000980815.1_ASM98081v1	Corynebacterium camporealensis	Bacteria	Terrabacteria group	COG0085	PRIMARY	1158	2019.7	1069	1	AKE38313.1	598.5
EMA60808.1	GCA_000337375.1_ASM33737v1	Halorubrum lipolyticum DSM 21995	Archaea	Euryarchaeota	COG0085	MAIN	609	638.0	1043	2	EMA60807.1;EMA60808.1	295.5;817.5
EMA60807.1	GCA_000337375.1_ASM33737v1	Halorubrum lipolyticum DSM 21995	Archaea	Euryarchaeota	COG0085	SECO	521	292.3	439	1	1	1
AKB22453.1	GCA_000970005.1_ASM97000v1	Methanosarcina sp. WH1	Archaea	Euryarchaeota	COG0085	MAIN	604	665.6	1033	2	AKB22454.1;AKB22453.1	300.5;818.0
AKB22454.1	GCA_000970005.1_ASM97000v1	Methanosarcina sp. WH1	Archaea	Euryarchaeota	COG0085	SECO	531	308.0	429	1	1	1
ACG57944.1	GCA_000020785.1_ASM2078v1	Hydrogenobaculum sp. Y04AAS1	Bacteria	Aquificae	COG0085	NEXT	212	9.3	1517	1	1	1
ACG56948.1	GCA_000020785.1_ASM2078v1	Hydrogenobaculum sp. Y04AAS1	Bacteria	Aquificae	COG0085	PRIMARY	1470	1822.9	1065	1	ACG56948.1	599.5
AEA47357.1	GCA_000194625.1_ASM19462v1	Archaeoglobus veneficus SNP6	Archaea	Euryarchaeota	COG0085	MAIN	604	711.7	1039	2	AEA47358.1;AEA47357.1	300.5;817.0
AEA47358.1	GCA_000194625.1_ASM19462v1	Archaeoglobus veneficus SNP6	Archaea	Euryarchaeota	COG0085	SECO	490	338.1	441	1	1	1
ADY59610.1	GCA_000165715.3_ASM16571v3	Rubinisphaera brasiliensis DSM 5305	Bacteria	PVC group	COG0085	PRIMARY	1238	1825.7	1050	1	ADY59610.1	593.0
KJR74119.1	GCA_000960885.1_ASM96088v1	Thermoproteus sp. AZ2	Archaea	TACK group	COG0085	PRIMARY	1127	1039.5	1045	1	KJR74119.1	595.5
AAM04683.1	GCA_000007345.1_ASM734v1	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	COG0085	MAIN	604	667.6	1036	2	AAM04684.1;AAM04683.1	299.0;831.5
AAM04684.1	GCA_000007345.1_ASM734v1	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	COG0085	SECO	550	316.7	432	1	1	1
OGW09397.1	GCA_001803535.1_ASM180353v1	Nitrospinae bacterium RIFCSPLOWO2_12_FULL_39_93	Bacteria	Nitrospinae/Tectomicrobia group	COG0085	PRIMARY	1343	2134.2	1055	1	OGW09397.1	594.5
ADU67536.1	GCA_000175935.2_ASM17593v2	Pantoea sp. At-9b	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2135.8	1055	1	ADU67536.1	590.5
SEA24188.1	GCA_900107665.1_IMG-taxon_2617270898_annotated_assembly	Haloplanus vescus	Archaea	Euryarchaeota	COG0085	MAIN	608	649.4	1051	2	SEA24174.1;SEA24188.1	291.5;817.5
SEA24174.1	GCA_900107665.1_IMG-taxon_2617270898_annotated_assembly	Haloplanus vescus	Archaea	Euryarchaeota	COG0085	SECO	519	296.9	447	1	1	1
LIUK01000042.1_4	GCA_001462305.1_ASM146230v1	Fibrobacteria bacterium AD80	Bacteria	FCB group	COG0085	PRIMARY	1424	1881.3	1049	1	LIUK01000042.1_4	591.5
EMA02654.1	GCA_000337295.1_ASM33729v1	Haloferax mediterranei ATCC 33500	Archaea	Euryarchaeota	COG0085	SECO	521	293.5	447	1	1	1
EMA02653.1	GCA_000337295.1_ASM33729v1	Haloferax mediterranei ATCC 33500	Archaea	Euryarchaeota	COG0085	MAIN	609	659.1	1051	2	EMA02654.1;EMA02653.1	291.5;817.5
DGIC01000009.1_325	GCA_002392975.1_ASM239297v1	Elusimicrobia bacterium UBA3832	Bacteria	Elusimicrobia	COG0085	PRIMARY	1258	1890.8	1053	1	DGIC01000009.1_325	594.5
DACF01000007.1_75	GCA_002494585.1_ASM249458v1	Methanomassiliicoccaceae archaeon UBA409	Archaea	Euryarchaeota	COG0085	PRIMARY	1200	933.4	1038	1	DACF01000007.1_75	600.0
MTMB01000003.1_10	GCA_002011085.1_ASM201108v1	Candidatus Geothermarchaeota archaeon JdFR-14	Archaea	TACK group	COG0085	PRIMARY	1133	877.1	1041	1	MTMB01000003.1_10	597.5
KUK04893.1	GCA_001507975.1_ASM150797v1	Euryarchaeota archaeon 55_53	Archaea	Euryarchaeota	COG0085	MAIN	612	667.4	1038	2	KUK04894.1;KUK04893.1	298.0;830.5
KUK04894.1	GCA_001507975.1_ASM150797v1	Euryarchaeota archaeon 55_53	Archaea	Euryarchaeota	COG0085	SECO	495	320.9	434	1	1	1
DKAH01000007.1_8	GCA_002448795.1_ASM244879v1	Candidatus Marinimicrobia bacterium UBA6931	Bacteria	FCB group	COG0085	PRIMARY	1258	1937.0	1052	1	DKAH01000007.1_8	590.0
AFL94649.1	GCA_000265525.1_ASM26552v1	Thermococcus cleftensis	Archaea	Euryarchaeota	COG0085	PRIMARY	1122	1077.6	1038	1	AFL94649.1	598.0
ADN59196.1	GCA_000148685.1_ASM14868v1	Burkholderia sp. CCGE1003	Bacteria	Proteobacteria	COG0085	PRIMARY	1368	2075.4	1053	1	ADN59196.1	589.5
ADI35266.1	GCA_000093185.1_ASM9318v1	Helicobacter pylori v225d	Bacteria	Proteobacteria	COG0085	PRIMARY	2890	3936.8	2505	1	ADI35266.1	1312.5
KXB06306.1	GCA_001549275.1_SCGC-AAA382A20	candidate divison MSBL1 archaeon SCGC-AAA382A20	Archaea	Euryarchaeota	COG0085	PRIMARY	275	385.0	266	1	KXB06306.1	986.0
AQRS01000038.1_10	GCA_000402355.1_ASM40235v1	Candidatus Iainarchaeum andersonii SCGC AAA011-E11	Archaea	DPANN group	COG0085	MAIN	608	549.1	1044	2	AQRS01000038.1_8;AQRS01000038.1_10	297.5;816.0
AQRS01000038.1_8	GCA_000402355.1_ASM40235v1	Candidatus Iainarchaeum andersonii SCGC AAA011-E11	Archaea	DPANN group	COG0085	SECO	488	284.1	445	1	1	1
AP017558.1_1614	GCA_002355635.1_ASM235563v1	Halopenitus persicus	Archaea	Euryarchaeota	COG0085	SECO	522	298.8	439	1	1	1
AP017558.1_1613	GCA_002355635.1_ASM235563v1	Halopenitus persicus	Archaea	Euryarchaeota	COG0085	MAIN	610	644.1	1043	2	AP017558.1_1614;AP017558.1_1613	295.5;817.5
DBAC01000005.1_26	GCA_002291505.1_ASM229150v1	Candidatus Saccharibacteria bacterium UBA1020	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1121	1793.8	1074	1	DBAC01000005.1_26	601.0
SDX64648.1	GCA_900107215.1_IMG-taxon_2599185146_annotated_assembly	Acetomicrobium thermoterrenum DSM 13490	Bacteria	Synergistetes	COG0085	PRIMARY	1183	2047.4	1081	1	SDX64648.1	603.5
SES67788.1	GCA_900111645.1_IMG-taxon_2642422537_annotated_assembly	Methanococcoides vulcani	Archaea	Euryarchaeota	COG0085	SECO	530	311.1	429	1	1	1
SES67801.1	GCA_900111645.1_IMG-taxon_2642422537_annotated_assembly	Methanococcoides vulcani	Archaea	Euryarchaeota	COG0085	MAIN	604	661.2	1033	2	SES67788.1;SES67801.1	300.5;852.0
SDM97885.1	GCA_900103505.1_IMG-taxon_2651870127_annotated_assembly	Haloarchaeobius iranensis	Archaea	Euryarchaeota	COG0085	MAIN	609	669.0	1042	2	SDM97866.1;SDM97885.1	296.0;817.5
SDM97866.1	GCA_900103505.1_IMG-taxon_2651870127_annotated_assembly	Haloarchaeobius iranensis	Archaea	Euryarchaeota	COG0085	SECO	521	298.9	438	1	1	1
AJLF01000001.1_89	GCA_000258515.1_TheZil1.0	Thermococcus zilligii AN1	Archaea	Euryarchaeota	COG0085	PRIMARY	1123	1073.7	1042	1	AJLF01000001.1_89	598.0
LDXY01000017.1_24	GCA_001442935.1_ASM144293v1	Candidatus Kryptonium thompsoni	Bacteria	FCB group	COG0085	PRIMARY	1261	2060.8	1050	1	LDXY01000017.1_24	590.0
AJVG01000001.1_90	GCA_000493245.1_Nat_J71	Natrinema sp. J7-1	Archaea	Euryarchaeota	COG0085	MAIN	610	662.1	1050	2	AJVG01000001.1_91;AJVG01000001.1_90	292.0;817.5
AJVG01000001.1_91	GCA_000493245.1_Nat_J71	Natrinema sp. J7-1	Archaea	Euryarchaeota	COG0085	SECO	527	294.5	446	1	1	1
AFY74571.1	GCA_000317085.1_ASM31708v1	Synechococcus sp. PCC 7502	Bacteria	Terrabacteria group	COG0085	PRIMARY	1095	2018.7	1054	1	AFY74571.1	602.0
SFL22766.1	GCA_900114455.1_IMG-taxon_2619618990_annotated_assembly	Halogranum rubrum	Archaea	Euryarchaeota	COG0085	MAIN	608	646.4	1050	2	SFL22747.1;SFL22766.1	292.0;817.5
SFL22747.1	GCA_900114455.1_IMG-taxon_2619618990_annotated_assembly	Halogranum rubrum	Archaea	Euryarchaeota	COG0085	SECO	521	298.9	446	1	1	1
OGD64929.1	GCA_001774395.1_ASM177439v1	Candidatus Berkelbacteria bacterium RIFCSPLOWO2_01_FULL_50_28	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1107	1851.2	1069	1	OGD64929.1	601.5
BAB65244.1	GCA_000011205.1_ASM1120v1	Sulfolobus tokodaii str. 7	Archaea	TACK group	COG0085	PRIMARY	1126	1062.5	1052	1	BAB65244.1	598.0
CAJ54959.1	GCA_000055945.1_ASM5594v1	Lawsonia intracellularis PHE/MN1-00	Bacteria	Proteobacteria	COG0085	PRIMARY	1373	2066.0	1056	1	CAJ54959.1	597.0
EMA60711.1	GCA_000337395.1_ASM33739v1	Halorubrum litoreum JCM 13561	Archaea	Euryarchaeota	COG0085	SECO	521	296.8	439	1	1	1
EMA60710.1	GCA_000337395.1_ASM33739v1	Halorubrum litoreum JCM 13561	Archaea	Euryarchaeota	COG0085	MAIN	609	640.9	1043	2	EMA60711.1;EMA60710.1	295.5;817.0
AHI06700.1	GCA_000525675.1_ASM52567v1	Bdellovibrio bacteriovorus W	Bacteria	Proteobacteria	COG0085	PRIMARY	1400	2116.5	1068	1	AHI06700.1	598.0
AKV82200.1	GCA_001266735.1_ASM126673v1	Metallosphaera sedula	Archaea	TACK group	COG0085	PRIMARY	1124	1046.9	1044	1	AKV82200.1	601.0
LFRP01000016.1_34	GCA_001512365.1_ASM151236v1	Methanosarcina sp. DTU009	Archaea	Euryarchaeota	COG0085	MAIN	605	672.9	1033	2	LFRP01000016.1_35;LFRP01000016.1_34	300.5;830.5
LFRP01000016.1_35	GCA_001512365.1_ASM151236v1	Methanosarcina sp. DTU009	Archaea	Euryarchaeota	COG0085	SECO	532	315.3	429	1	1	1
ESP87602.1	GCA_000495475.1_Htyrrel1.0	Candidatus Halobonum tyrrellensis G22	Archaea	Euryarchaeota	COG0085	MAIN	608	651.3	1051	2	ESP87603.1;ESP87602.1	291.5;817.5
ESP87603.1	GCA_000495475.1_Htyrrel1.0	Candidatus Halobonum tyrrellensis G22	Archaea	Euryarchaeota	COG0085	SECO	521	297.2	447	1	1	1
ALU31735.1	GCA_001481635.1_ASM148163v1	Sulfolobus acidocaldarius	Archaea	TACK group	COG0085	PRIMARY	1126	1035.1	1046	1	ALU31735.1	597.0
AGP95204.1	GCA_000439555.1_ASM43955v1	Alteromonas mediterranea U8	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2122.4	1054	1	AGP95204.1	590.0
AJI77986.1	GCA_000833575.1_ASM83357v1	Corynebacterium singulare	Bacteria	Terrabacteria group	COG0085	PRIMARY	1159	2025.0	1070	1	AJI77986.1	599.0
DACG01000029.1_39	GCA_002494725.1_ASM249472v1	Geoglobus sp. UBA235	Archaea	Euryarchaeota	COG0085	MAIN	605	688.8	1036	2	DACG01000029.1_38;DACG01000029.1_39	301.5;817.0
DACG01000029.1_38	GCA_002494725.1_ASM249472v1	Geoglobus sp. UBA235	Archaea	Euryarchaeota	COG0085	SECO	490	336.4	439	1	1	1
DBAQ01000009.1_64	GCA_002291735.1_ASM229173v1	Patescibacteria group bacterium UBA1006	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1081	1728.7	1073	1	DBAQ01000009.1_64	601.5
KUK30421.1	GCA_001508185.1_ASM150818v1	Methanosarcinales archeaon 56_1174	Archaea	Euryarchaeota	COG0085	MAIN	612	667.4	1038	2	KUK30422.1;KUK30421.1	298.0;830.5
KUK30422.1	GCA_001508185.1_ASM150818v1	Methanosarcinales archeaon 56_1174	Archaea	Euryarchaeota	COG0085	SECO	495	320.9	434	1	1	1
AKM84792.1	GCA_001029795.1_ASM102979v1	candidate division Kazan bacterium GW2011_GWA1_50_15	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1145	1849.7	1053	1	AKM84792.1	593.5
OHA87717.1	GCA_001823655.1_ASM182365v1	Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_35_32	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1074	1707.9	1064	1	OHA87717.1	597.0
APH39829.1	GCA_001889405.1_ASM188940v1	Methanohalophilus halophilus	Archaea	Euryarchaeota	COG0085	SECO	541	318.7	432	1	1	1
APH39827.1	GCA_001889405.1_ASM188940v1	Methanohalophilus halophilus	Archaea	Euryarchaeota	COG0085	MAIN	604	670.1	1036	2	APH39829.1;APH39827.1	299.0;846.5
KXB08968.1	GCA_001549515.1_SCGC-AAA385M02	candidate divison MSBL1 archaeon SCGC-AAA385M02	Archaea	Euryarchaeota	COG0085	PRIMARY	1187	570.9	1035	1	KXB08968.1	598.5
KXB08975.1	GCA_001549515.1_SCGC-AAA385M02	candidate divison MSBL1 archaeon SCGC-AAA385M02	Archaea	Euryarchaeota	COG0085	NEXT	1385	533.3	1036	1	1	1
AWOB01000001.1_25	GCA_000494205.1_Geoarchaeota_archaeon_OTU_1	crenarchaeote JGI-OTU-1	Archaea	TACK group	COG0085	PRIMARY	1130	976.8	1045	1	AWOB01000001.1_25	597.5
AWOB01000005.1_4	GCA_000494205.1_Geoarchaeota_archaeon_OTU_1	crenarchaeote JGI-OTU-1	Archaea	TACK group	COG0085	NEXT	303	9.9	164	1	1	1
AHL21818.1	GCA_000585495.1_ASM58549v1	Thermococcus nautili	Archaea	Euryarchaeota	COG0085	PRIMARY	1123	1087.6	1042	1	AHL21818.1	598.0
KKG25285.1	GCA_000979475.1_gtlEnvA5udCFS	Methanosarcina sp. 2.H.T.1A.8	Archaea	Euryarchaeota	COG0085	MAIN	604	656.6	1033	2	KKG25286.1;KKG25285.1	300.5;830.5
KKG25286.1	GCA_000979475.1_gtlEnvA5udCFS	Methanosarcina sp. 2.H.T.1A.8	Archaea	Euryarchaeota	COG0085	SECO	531	309.1	429	1	1	1
ASP27814.1	GCA_002237575.1_ASM223757v1	Spiroplasma corruscae	Bacteria	Terrabacteria group	COG0085	PRIMARY	1283	1896.9	1111	1	ASP27814.1	620.5
ADG16953.1	GCA_000092885.1_ASM9288v1	Burkholderia sp. CCGE1002	Bacteria	Proteobacteria	COG0085	PRIMARY	1368	2074.1	1053	1	ADG16953.1	589.5
BAZ99075.1	GCA_002356395.1_ASM235639v1	Methanothermobacter sp. EMTCatA1	Archaea	Euryarchaeota	COG0085	MAIN	603	715.8	1045	2	BAZ99074.1;BAZ99075.1	298.5;818.0
BAZ99074.1	GCA_002356395.1_ASM235639v1	Methanothermobacter sp. EMTCatA1	Archaea	Euryarchaeota	COG0085	SECO	514	321.0	447	1	1	1
CUS88596.1	GCA_001536025.1_JGI_assembly	Candidatus Kryptonium thompsoni	Bacteria	FCB group	COG0085	PRIMARY	166	207.0	141	1	CUS88596.1	134.5
CUS82010.1	GCA_001536025.1_JGI_assembly	Candidatus Kryptonium thompsoni	Bacteria	FCB group	COG0085	NEXT	40	63.0	38	1	1	1
DBAA01000043.1_1	GCA_002304695.1_ASM230469v1	Candidatus Saccharibacteria bacterium UBA1022	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1106	1783.0	1056	1	DBAA01000043.1_1	610.0
CAR45495.1	GCA_000069965.1_ASM6996v1	Proteus mirabilis HI4320	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2140.5	1055	1	CAR45495.1	590.5
PAV07131.1	GCA_002287195.1_ASM228719v1	Methanosphaera cuniculi	Archaea	Euryarchaeota	COG0085	MAIN	609	686.6	1047	2	PAV07130.1;PAV07131.1	297.5;818.0
PAV07130.1	GCA_002287195.1_ASM228719v1	Methanosphaera cuniculi	Archaea	Euryarchaeota	COG0085	SECO	505	324.4	449	1	1	1
DCTQ01000108.1_4	GCA_002329395.1_ASM232939v1	Elusimicrobia bacterium UBA1436	Bacteria	Elusimicrobia	COG0085	MAIN	1212	1724.9	1073	2	DCTQ01000108.1_5;DCTQ01000108.1_4	1097.5;556.0
DCTQ01000108.1_5	GCA_002329395.1_ASM232939v1	Elusimicrobia bacterium UBA1436	Bacteria	Elusimicrobia	COG0085	SECO	96	116.0	87	1	1	1
PDH45820.1	GCA_002457685.1_ASM245768v1	Rhodothermaeota bacterium MED-G18	Bacteria	Rhodothermaeota	COG0085	PRIMARY	1288	1981.6	1048	1	PDH45820.1	591.0
EHO41729.1	GCA_000241815.1_ASM24181v1	Caldithrix abyssi DSM 13497	Bacteria	Calditrichaeota	COG0085	MAIN	1258	2094.0	1245	2	EHO43297.1;EHO41729.1	1220.5;590.0
EHO43297.1	GCA_000241815.1_ASM24181v1	Caldithrix abyssi DSM 13497	Bacteria	Calditrichaeota	COG0085	SECO	517	5.6	177	1	1	1
DECT01000064.1_4	GCA_002349385.1_ASM234938v1	Elusimicrobia bacterium UBA2923	Bacteria	Elusimicrobia	COG0085	SECO	68	54.4	54	1	1	1
DECT01000064.1_3	GCA_002349385.1_ASM234938v1	Elusimicrobia bacterium UBA2923	Bacteria	Elusimicrobia	COG0085	MAIN	1235	1642.2	1066	2	DECT01000064.1_4;DECT01000064.1_3	1107.0;554.0
OHA76723.1	GCA_001823455.1_ASM182345v1	Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_12_FULL_40_9	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1089	1775.2	1052	1	OHA76723.1	595.0
AEN04706.1	GCA_000224475.1_ASM22447v1	halophilic archaeon DL31	Archaea	unclassified Archaea	COG0085	SECO	522	295.3	440	1	1	1
AEN04705.1	GCA_000224475.1_ASM22447v1	halophilic archaeon DL31	Archaea	unclassified Archaea	COG0085	MAIN	610	658.9	1044	2	AEN04706.1;AEN04705.1	295.0;831.5
ACK79513.1	GCA_000021485.1_ASM2148v1	Acidithiobacillus ferrooxidans ATCC 23270	Bacteria	Proteobacteria	COG0085	PRIMARY	1362	2125.4	1055	1	ACK79513.1	590.5
ATG97659.1	GCA_002441935.1_ASM244193v1	Mesoplasma lactucae ATCC 49193	Bacteria	Terrabacteria group	COG0085	PRIMARY	1283	1923.3	1087	1	ATG97659.1	605.5
AXWJ01000001.1_49	GCA_000484935.1_ASM48493v1	Euryarchaeota archaeum SCGC AAA287-E17	Archaea	Euryarchaeota	COG0085	PRIMARY	1115	954.9	1050	1	AXWJ01000001.1_49	593.0
OGC73387.1	GCA_001773255.1_ASM177325v1	candidate division WWE3 bacterium RIFOXYC2_FULL_42_13	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1102	1586.0	1080	1	OGC73387.1	609.0
AEM38092.1	GCA_000223395.1_ASM22339v1	Pyrolobus fumarii 1A	Archaea	TACK group	COG0085	PRIMARY	1168	1040.5	1047	1	AEM38092.1	594.5
KKP28612.1	GCA_000989355.1_ASM98935v1	Candidatus Nomurabacteria bacterium GW2011_GWE2_31_40	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1055	1711.9	1055	1	KKP28612.1	592.5
DBQW01000029.1_6	GCA_002305395.1_ASM230539v1	Candidatus Berkelbacteria bacterium UBA1384	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1092	1895.7	1057	1	DBQW01000029.1_6	593.5
CUT17332.1	GCA_001460935.1_Ark11	bacterium 2013Arg42i	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1390	2058.3	1053	1	CUT17332.1	590.5
AJW71582.1	GCA_000956175.1_ASM95617v1	Candidatus Nitrosopumilus adriaticus	Archaea	TACK group	COG0085	PRIMARY	1115	976.8	1049	1	AJW71582.1	593.5
SDR78212.1	GCA_900104925.1_IMG-taxon_2690315651_annotated_assembly	Opitutus sp. GAS368	Bacteria	PVC group	COG0085	PRIMARY	1264	2016.5	1051	1	SDR78212.1	591.5
ELY46626.1	GCA_000337735.1_ASM33773v1	Natronorubrum sulfidifaciens JCM 14089	Archaea	Euryarchaeota	COG0085	MAIN	609	664.6	1052	2	ELY46627.1;ELY46626.1	291.0;817.5
ELY46627.1	GCA_000337735.1_ASM33773v1	Natronorubrum sulfidifaciens JCM 14089	Archaea	Euryarchaeota	COG0085	SECO	526	301.8	448	1	1	1
KUO91956.1	GCA_001516585.1_ASM151658v1	Thermocladium sp. ECH_B	Archaea	TACK group	COG0085	PRIMARY	1121	1010.5	1047	1	KUO91956.1	595.5
ARS64974.1	GCA_002156965.1_ASM215696v1	Candidatus Nitrosomarinus catalina	Archaea	TACK group	COG0085	PRIMARY	1116	965.2	1049	1	ARS64974.1	593.5
BAH37897.1	GCA_000010305.1_ASM1030v1	Gemmatimonas aurantiaca T-27	Bacteria	FCB group	COG0085	PRIMARY	1522	2035.8	1058	1	BAH37897.1	598.0
AQYP01000060.1_11	GCA_000380765.1_ASM38076v1	Cloacimonetes bacterium JGI 0000039-G13	Bacteria	FCB group	COG0085	PRIMARY	368	353.5	277	1	AQYP01000060.1_11	205.5
AQYP01000037.1_2	GCA_000380765.1_ASM38076v1	Cloacimonetes bacterium JGI 0000039-G13	Bacteria	FCB group	COG0085	NEXT	166	346.5	163	1	1	1
AIV41099.1	GCA_000772085.1_ASM77208v1	Curtobacterium sp. MR_MD2014	Bacteria	Terrabacteria group	COG0085	PRIMARY	1162	2038.3	1071	1	AIV41099.1	595.5
OHA51103.1	GCA_001822905.1_ASM182290v1	Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_44_24	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1071	1833.2	1051	1	OHA51103.1	593.5
ACF45345.1	GCA_000020625.1_ASM2062v1	Prosthecochloris aestuarii DSM 271	Bacteria	FCB group	COG0085	PRIMARY	1301	1968.9	1051	1	ACF45345.1	591.5
AKA78938.1	GCA_000968435.1_ASM96843v1	Sulfolobus solfataricus	Archaea	TACK group	COG0085	PRIMARY	1124	1072.0	1048	1	AKA78938.1	596.0
AUQX01000012.1_31	GCA_001006085.1_ASM100608v1	Desulfurococcus mucosus DSM 2161	Archaea	TACK group	COG0085	PRIMARY	1166	1035.1	1043	1	AUQX01000012.1_31	597.5
CUH91851.1	GCA_900070325.1_SD1D	Herbinix luporum	Bacteria	Terrabacteria group	COG0085	PRIMARY	1283	2153.8	1074	1	CUH91851.1	601.0
